69649,69713,69714,70292,73170,73171
69673,70062,70065
69692,69693
69750,69751
69790,73573
69825,75308
69858,69859
69862,69863
69873,69874,69875
69961,69962
69983,70150
70044,70046
70090,70276,70278
70117,70118
70159,70160
70219,70536
70226,70227
70265,70266
70353,70413
70607,70608,70609
70616,70617
70619,70620
70767,70768
70811,70812,70813,70815
71031,71032
71034,71036
71179,71180
71191,71192
71304,71306
71503,71504
71540,71541
71762,71764
71843,71844,72412,72413
71906,71909
71932,71933,72636,73187
71945,71946
71958,72048,72050,72051
71963,71964
72430,72431
72434,72435
72466,72467
72530,72531
72617,72618
72675,72676
72712,72833
72724,72725
72751,72752,72753,72863
72847,72848
72850,72852,72853
72894,72895
73060,73062
73265,73266,73591,73592
73283,73285
73306,73307
73392,73393,73394,73395,73440
73565,73566
73611,73624,73623,73628
73620,73621
73707,73708
73720,73721
73869,73870
73926,73927
74048,74051
74070,74071
74087,74088
74112,74113
74146,74147
74160,74161,74162
74196,74199
74200,74201
74262,74263
74303,74304
74565,74566
74941,74942
75094,75095,75096
75252,75253,75254
75298,75299
75315,75316
75371,75372
75412,75413,75414
75431,75432,75434
75468,75499,75501
75480,75481
75593,75594
75622,75623
75832,75833
76161,76162
76203,76204
76213,76214
76282,76283
76303,76304
76330,76332,76333
76510,76511
76705,76706,76709
76741,77155
77194,84437
77222,77223
77299,77301
77350,77751,77752,77815,77816
77356,77357
77376,77377,77378
77382,77383,77384
77386,77389
77450,77451
77519,77664,77665,77809
77604,77606
77701,77702
78104,78106
78115,78117
78528,78590,78610
78681,78682
78727,78728
78821,78822
78957,81657,83151,82145,82128,82127,82143,82146,82162,82171,82462
79004,79005,79363
79171,79172
79343,79345,83754
79427,79428
79618,79619
79714,79715,79716
79717,79718
79782,80321,83613
79802,79804
79822,80168,80169,80317
79835,79837,80446,80445,80447
80197,80198
80220,80221,80822,80823
80347,80348
80384,80385,80386
80526,80527,80528,80530,80532
80555,80558
80608,80609
80794,80795
80849,80850
81039,81040
81093,81095
81157,81158
81198,81200
81371,81372
81413,81647
81526,81528
81665,82578
81667,81668
81740,81741,81742
81768,81769,81770
81892,81893
82008,82010
82017,82018
82112,82136,82147,82452,82453,82454
82211,82223
82375,82376
82629,82687,82689,83137,83138,83139
82733,83382,83383
82895,82896
82929,82930
82967,82968
82969,82970
83031,83034
83294,83295,83296,83297
83361,83362
83406,83407
83409,83411,83413
83457,83460
83553,83607
83704,83705
83775,83777,83878,83920,84044
83779,83780,83783,83784
83967,83968
84027,84028,84029,84030,84031
84095,84096
84140,84141
84157,84158
84178,84180
84221,84222
84236,84769
84332,84335
84337,84338,84596
84342,84343
84360,84361
84453,84454
84469,84470
84473,84474
84502,84503
84535,84536,84726
84553,84554
84656,84657
84673,84720
84730,84731
84783,84784
84796,84797
84946,84949,84950
84963,84964
85033,85034,85042
85067,85068
85159,85160
85252,85253
85429,85431
85530,85532
85668,85669
85721,85722
85908,85909
